Title,Year,Rating,URL
The Great Dictator,1940,8.4,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68
Inglourious Basterds,2009,8.4,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69
12th Fail,2023,8.7,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_70
Aliens,1986,8.4,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_71
High and Low,1963,8.4,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_72
Good Will Hunting,1997,8.4,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_73
The Dark Knight Rises,2012,8.4,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_74
Avengers: Endgame,2019,8.4,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_75
Coco,2017,8.4,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_76
Amadeus,1984,8.4,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_77
Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_78
Your Name.,2016,8.4,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_79
Das Boot,1981,8.3,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_80
Oldboy,2003,8.3,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_81
Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_82
Princess Mononoke,1997,8.3,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_83
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_84
3 Idiots,2009,8.4,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_86
Capernaum,2018,8.4,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_87
Singin' in the Rain,1952,8.3,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
Joker,2019,8.3,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_89
Once Upon a Time in America,1984,8.3,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_90
Come and See,1985,8.3,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_91
Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92
Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_93
Toy Story 3,2010,8.3,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_94
Ikiru,1952,8.3,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_95
The Hunt,2012,8.3,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_96
Incendies,2010,8.3,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97
Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_98
The Apartment,1960,8.3,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_99
Lawrence of Arabia,1962,8.3,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100
2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_101
Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_102
Heat,1995,8.3,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_103
Scarface,1983,8.3,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_104
Double Indemnity,1944,8.3,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_105
Up,2009,8.3,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_106
North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_107
Like Stars on Earth,2007,8.3,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_108
Full Metal Jacket,1987,8.2,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
M,1931,8.3,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_110
Citizen Kane,1941,8.2,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_111
Amélie,2001,8.3,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_112
Vertigo,1958,8.2,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_113
A Separation,2011,8.3,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_114
Die Hard,1988,8.2,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_115
To Kill a Mockingbird,1962,8.2,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_116
The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_117
Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_118
A Clockwork Orange,1971,8.2,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_119
Metropolis,1927,8.2,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120
1917,2019,8.2,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_121
Snatch,2000,8.2,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_122
L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123
Downfall,2004,8.2,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_124
The Wolf of Wall Street,2013,8.2,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_125
Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_126
Bicycle Thieves,1948,8.2,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_127
The Truman Show,1998,8.2,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_128
Oppenheimer,2023,8.2,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_129
Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_130
Shutter Island,2010,8.2,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_131
Judgment at Nuremberg,1961,8.3,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_132
Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_133
Hamilton,2020,8.3,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_134
For a Few Dollars More,1965,8.2,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_135
Taxi Driver,1976,8.2,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_136
Jurassic Park,1993,8.2,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_137
Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_138
There Will Be Blood,2007,8.2,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_139
The Kid,1921,8.2,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_140
The Father,2020,8.2,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_141
All About Eve,1950,8.2,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_142
The Sixth Sense,1999,8.2,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_143
Ran,1985,8.2,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_144
Casino,1995,8.2,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_145
No Country for Old Men,2007,8.2,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_146
The Thing,1982,8.2,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_147
Top Gun: Maverick,2022,8.2,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_148
Prisoners,2013,8.2,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_149
Kill Bill: Vol. 1,2003,8.2,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_150
Pan's Labyrinth,2006,8.2,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_151
Unforgiven,1992,8.2,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_152
A Beautiful Mind,2001,8.2,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_153
The Treasure of the Sierra Madre,1948,8.2,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_154
Howl's Moving Castle,2004,8.2,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_155
Finding Nemo,2003,8.2,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156
Klaus,2019,8.2,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_157
Yojimbo,1961,8.2,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_158
The Great Escape,1963,8.2,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_159
The Elephant Man,1980,8.2,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_161
Dial M for Murder,1954,8.1,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_162
The Best of Youth,2003,8.4,https://www.imdb.com/title/tt0346336/?ref_=chttp_t_163
The Secret in Their Eyes,2009,8.2,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_164
Gone with the Wind,1939,8.2,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_165
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,8.4,https://www.imdb.com/title/tt32820897/?ref_=chttp_t_166
Chinatown,1974,8.1,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_167
"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_168
V for Vendetta,2005,8.1,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_169
Catch Me If You Can,2002,8.1,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_170
Inside Out,2015,8.1,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_171
Rashomon,1950,8.1,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_172
"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_173
Trainspotting,1996,8.1,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_174
The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_175
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_176
The Chaos Class Failed the Class,1975,8.5,https://www.imdb.com/title/tt0252488/?ref_=chttp_t_177
Dead Poets Society,1989,8.1,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_178
The Wild Robot,2024,8.2,https://www.imdb.com/title/tt29623480/?ref_=chttp_t_179
Warrior,2011,8.1,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_180
Fargo,1996,8.1,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_181
Barry Lyndon,1975,8.1,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_182
Raging Bull,1980,8.1,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_183
Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_184
Million Dollar Baby,2004,8.1,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_185
Mad Max: Fury Road,2015,8.1,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_186
Children of Heaven,1997,8.2,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_187
Hacksaw Ridge,2016,8.1,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_188
My Neighbour Totoro,1988,8.1,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_189
Gran Torino,2008,8.1,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_190
12 Years a Slave,2013,8.1,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_191
The Grand Budapest Hotel,2014,8.1,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_192
Ratatouille,2007,8.1,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_193
